name;fuji velvia-like
description;fuji velvia-like colorchecker
num_gray;24
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
C10;65.278938293457031;4.7799944877624512;4.5505046844482422;83.806938171386719;7.359623908996582;7.0487022399902344
C11;65.177574157714844;7.9392790794372559;12.190723419189453;83.57501220703125;12.013941764831543;18.722665786743164
C12;65.590972900390625;10.203152656555176;19.539308547973633;84.014564514160156;14.789968490600586;30.748844146728516
C13;75.84332275390625;-10.121017456054688;-20.142436981201172;94.611015319824219;-17.534076690673828;-8.4336872100830078
C14;72.189826965332031;12.552558898925781;-22.425699234008789;92.189071655273438;9.3894596099853516;-11.515581130981445
C15;79.504104614257812;-3.1918883323669434;4.0481448173522949;96.280303955078125;-3.2274723052978516;4.073643684387207
C16;66.431907653808594;0.4609525203704834;-12.926673889160156;84.977806091308594;0.49218535423278809;-18.686603546142578
C17;70.896743774414062;10.85609245300293;-6.3966751098632812;89.028083801269531;14.224797248840332;-9.6656084060668945
C18;75.281639099121094;-12.514323234558105;-3.1903266906738281;92.002326965332031;-17.023056030273438;-4.0813088417053223
C19;68.801033020019531;3.3626258373260498;-29.220951080322266;86.692001342773438;-1.9631385803222656;-20.131063461303711
C20;21.671165466308594;3.597646951675415;-2.9223203659057617;18.322132110595703;9.3116312026977539;-8.3117246627807617
C21;44.754329681396484;23.689985275268555;17.116523742675781;59.267372131347656;34.702987670898438;31.283164978027344
C22;57.297897338867188;11.754095077514648;4.4714927673339844;71.6116943359375;16.27606201171875;6.1800837516784668
D01;20.996208190917969;0.23800134658813477;-0.11469721794128418;16.859790802001953;0.76326727867126465;-0.50812363624572754
D02;23.492218017578125;-0.29605627059936523;3.2142937183380127;22.402256011962891;-1.0633170604705811;8.9593648910522461
D03;25.573066711425781;-0.83287060260772705;6.8048534393310547;27.032131195068359;-1.7437785863876343;20.343393325805664
D04;26.659885406494141;-1.0354667901992798;7.2692098617553711;29.875911712646484;-2.5707335472106934;22.273605346679688
D05;51.565719604492188;-1.289665699005127;6.4764261245727539;67.806968688964844;-2.2988021373748779;10.270059585571289
D06;52.091537475585938;-3.0613541603088379;22.417963027954102;68.220207214355469;-5.0651130676269531;37.923465728759766
D07;51.807342529296875;-4.5607089996337891;36.481094360351562;68.672981262207031;-7.478177547454834;61.580722808837891
D08;51.858367919921875;-6.4448714256286621;47.239421844482422;69.64190673828125;-9.5070896148681641;70.599960327148438
D09;69.246788024902344;-0.88939070701599121;-3.4693002700805664;88.754920959472656;-1.1221766471862793;-5.1931858062744141
D10;69.361854553222656;-2.2684931755065918;6.194603443145752;88.335433959960938;-3.713458776473999;9.8951101303100586
D11;69.756431579589844;-3.1634867191314697;15.433656692504883;88.430511474609375;-5.1012039184570312;24.409591674804688
D12;70.135498046875;-5.8501958847045898;40.662239074707031;88.658843994140625;-8.4995031356811523;60.405384063720703
D13;72.889175415039062;-13.617247581481934;-23.858715057373047;92.917877197265625;-25.345443725585938;-11.129749298095703
D14;67.730155944824219;18.730222702026367;-26.236141204833984;88.253898620605469;18.409639358520508;-17.322254180908203
D15;78.072746276855469;-3.5176873207092285;12.87682056427002;95.220024108886719;-4.6164989471435547;16.04058837890625
D16;59.412368774414062;0.30919909477233887;-11.77365779876709;77.0836181640625;1.4468729496002197;-18.684375762939453
D17;65.801948547363281;15.849054336547852;-2.4858236312866211;83.776374816894531;22.491037368774414;-4.2241692543029785
D18;71.227302551269531;-17.234474182128906;1.543891429901123;88.345550537109375;-25.439470291137695;3.0552029609680176
D19;62.160781860351562;5.3716301918029785;-35.862316131591797;80.003021240234375;0.8004605770111084;-30.406486511230469
D20;36.846595764160156;18.429130554199219;12.08953857421875;49.043968200683594;34.008563995361328;28.279888153076172
D21;48.278770446777344;5.4438114166259766;2.2480964660644531;62.197944641113281;7.9038739204406738;3.8864970207214355
D22;60.781661987304688;7.4774923324584961;5.0188183784484863;74.808746337890625;10.889262199401855;6.9667816162109375
E01;20.451732635498047;-2.8226971626281738;0.33456683158874512;15.626764297485352;-6.97198486328125;1.3952910900115967
E02;22.852581024169922;-5.2765312194824219;3.5775363445281982;21.333610534667969;-13.938143730163574;10.703963279724121
E03;25.556095123291016;-8.1264820098876953;7.3614778518676758;27.643177032470703;-22.050201416015625;22.277938842773438
E04;26.659400939941406;-8.1089887619018555;7.5323524475097656;30.341983795166016;-22.663562774658203;22.972900390625
E05;39.450347900390625;-4.8235058784484863;2.3517966270446777;53.3165283203125;-10.281294822692871;5.3931593894958496
E06;40.043064117431641;-10.727703094482422;12.414675712585449;54.049087524414062;-22.960275650024414;27.769309997558594
E07;40.190990447998047;-16.145259857177734;20.805185317993164;54.88116455078125;-34.866065979003906;46.290142059326172
E08;40.414287567138672;-21.38897705078125;27.412229537963867;56.376533508300781;-45.343338012695312;55.951107025146484
E09;60.786460876464844;-3.8082301616668701;-4.4285058975219727;79.26776123046875;-4.8032703399658203;-7.2550296783447266
E10;60.877792358398438;-7.2670578956604004;2.637481689453125;79.226203918457031;-11.705696105957031;5.0908446311950684
E11;61.247703552246094;-11.165201187133789;9.2105865478515625;78.949974060058594;-16.968757629394531;14.50697135925293
E12;61.827919006347656;-20.505487442016602;27.36107063293457;79.481307983398438;-32.191188812255859;42.760993957519531
E13;69.978866577148438;-16.341178894042969;-27.2939453125;91.12921142578125;-30.396074295043945;-13.91599178314209
E14;62.906539916992188;25.734842300415039;-30.059110641479492;83.915351867675781;28.227775573730469;-23.807155609130859
E15;76.485145568847656;-3.4199059009552002;22.069799423217773;94.03057861328125;-5.254298210144043;31.490825653076172
E16;52.680412292480469;0.61398744583129883;-10.186635971069336;70.015411376953125;0.71424245834350586;-15.186822891235352
E17;60.765953063964844;20.787567138671875;2.0605206489562988;78.801834106445312;29.376775741577148;3.6572456359863281
E18;67.12725830078125;-21.182506561279297;6.7774534225463867;83.907028198242188;-31.651020050048828;12.437748908996582
E19;55.573097229003906;8.3356494903564453;-42.048763275146484;73.69793701171875;5.716860294342041;-40.199363708496094
E20;43.919559478759766;30.768512725830078;31.474559783935547;60.242889404296875;46.053142547607422;58.821784973144531
E21;41.269855499267578;14.710441589355469;19.917678833007812;54.281532287597656;25.294095993041992;42.598354339599609
E22;52.349334716796875;15.022486686706543;18.585359573364258;66.63287353515625;20.89744758605957;30.334186553955078
F01;12.627679824829102;-3.4138262271881104;-4.4296083450317383;3.5603961944580078;-1.7540678977966309;-4.8165054321289062
F02;16.125072479248047;-6.3918533325195312;-2.8490424156188965;8.7032146453857422;-8.4183511734008789;-4.7176542282104492
F03;19.660568237304688;-8.2290763854980469;-1.9099593162536621;16.156654357910156;-14.130480766296387;-3.0559420585632324
F04;21.462108612060547;-8.3581209182739258;-1.6994237899780273;20.512420654296875;-16.436725616455078;-2.4392187595367432
F05;32.125629425048828;-6.6636056900024414;-4.3507099151611328;42.708457946777344;-15.067190170288086;-9.7406749725341797
F06;32.534809112548828;-13.763338088989258;-1.1491894721984863;44.970001220703125;-30.280546188354492;0.24160146713256836
F07;33.132671356201172;-19.783676147460938;1.7003536224365234;48.102798461914062;-38.538665771484375;9.5828647613525391
F08;33.894107818603516;-24.918645858764648;5.0535917282104492;51.321464538574219;-44.058307647705078;20.393299102783203
F09;60.21026611328125;-3.9003491401672363;-10.451900482177734;79.538772583007812;-4.980623722076416;-16.699838638305664
F10;60.451492309570312;-8.2855815887451172;-8.3238716125488281;79.796798706054688;-11.863767623901367;-13.00971508026123
F11;61.118759155273438;-12.600749969482422;-6.1764001846313477;80.543571472167969;-18.49946403503418;-9.2344045639038086
F12;61.89715576171875;-24.629026412963867;-0.76483488082885742;81.582290649414062;-36.835880279541016;1.2780904769897461
F13;66.99969482421875;-18.442243576049805;-30.753505706787109;89.122489929199219;-33.741802215576172;-17.006027221679688
F14;58.162788391113281;32.344459533691406;-33.527610778808594;79.619888305664062;39.285121917724609;-30.281639099121094
F15;75.0894775390625;-3.0185878276824951;29.812204360961914;93.222076416015625;-6.0868263244628906;45.332099914550781
F16;46.329246520996094;0.96163153648376465;-9.7072362899780273;62.988525390625;1.8928945064544678;-15.564513206481934
