name;fuji monochrome-like
description;fuji monochrome-like colorchecker
num_gray;24
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
A01;30.974533081054688;8.314967155456543;-4.3172063827514648;44.582160949707031;-2.9802322387695312e-05;0
A02;31.356666564941406;17.108081817626953;-1.9646942615509033;47.473350524902344;-2.9802322387695312e-05;0
A03;32.006008148193359;25.449932098388672;0.60186982154846191;50.352729797363281;0;0
A04;32.761146545410156;26.640176773071289;0.89538693428039551;51.76702880859375;-2.9802322387695312e-05;1.1920928955078125e-05
A05;48.085166931152344;13.884544372558594;-5.9868097305297852;70.85821533203125;0;0
A06;48.416885375976562;27.026535034179688;-1.6847968101501465;73.599861145019531;0;-1.1920928955078125e-05
A07;49.202484130859375;39.781452178955078;2.4698972702026367;76.003768920898438;-2.9802322387695312e-05;0
A08;49.845352172851562;56.847244262695312;6.8343043327331543;78.552543640136719;-5.9604644775390625e-05;0
A09;79.320625305175781;7.9072117805480957;-13.252782821655273;95.651664733886719;0;0
A10;79.37091064453125;13.809174537658691;-11.311113357543945;96.628273010253906;0;-1.1920928955078125e-05
A11;79.259071350097656;20.580886840820312;-8.9089632034301758;97.018577575683594;0;0
A12;79.001129150390625;27.138202667236328;-7.4529886245727539;96.676651000976562;-5.9604644775390625e-05;0
A13;99.686302185058594;-0.38230419158935547;-0.59572458267211914;99.308830261230469;0;0
A14;99.773834228515625;0.50187110900878906;-0.46125650405883789;99.308448791503906;0;1.1920928955078125e-05
A15;99.777740478515625;0.54159760475158691;-0.45638084411621094;99.308547973632812;0;2.384185791015625e-05
A16;99.7081298828125;-0.16137957572937012;-0.56271553039550781;99.30853271484375;0;0
A17;99.764251708984375;0.40268898010253906;-0.47763586044311523;99.30853271484375;0;0
A18;99.70953369140625;-0.15318393707275391;-0.56223869323730469;99.30853271484375;8.9406967163085938e-05;0
A19;98.809455871582031;-6.9864392280578613;-2.0982980728149414;99.310066223144531;0;0
A20;27.700473785400391;3.8339197635650635;-4.1903138160705566;38.563789367675781;-1.4901161193847656e-05;0
A21;33.245143890380859;18.725410461425781;5.2483739852905273;51.673782348632812;0;0
A22;38.611366271972656;33.360569000244141;13.52849006652832;62.771804809570312;0;0
B01;30.014793395996094;6.5241756439208984;-1.0500550270080566;42.228706359863281;-2.9802322387695312e-05;0
B02;30.5191650390625;13.122931480407715;3.7803709506988525;44.513336181640625;0;0
B03;31.345436096191406;19.523651123046875;8.0057916641235352;47.219898223876953;-2.9802322387695312e-05;0
