name;fuji classic chrome-like
description;fuji classic chrome-like colorchecker
num_gray;24
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
A01;22.222446441650391;13.185798645019531;0.61055421829223633;21.650993347167969;17.481296539306641;3.6237239837646484
A02;23.004188537597656;24.160787582397461;4.1896286010742188;26.924308776855469;32.398895263671875;11.966914176940918
A03;24.301109313964844;33.593132019042969;7.4078202247619629;32.702510833740234;43.260200500488281;18.899070739746094
A04;25.210216522216797;34.535259246826172;7.7939691543579102;34.688545227050781;44.767066955566406;19.315832138061523
A05;42.513160705566406;17.039150238037109;1.265794038772583;59.553047180175781;21.23841667175293;3.4530043601989746
A06;42.938194274902344;31.26329231262207;6.0803771018981934;61.109375;34.156173706054688;9.2134952545166016
A07;44.033920288085938;44.690547943115234;10.904574394226074;62.921478271484375;44.114143371582031;12.399232864379883
A08;45.109592437744141;62.400936126708984;16.060131072998047;64.217422485351562;55.216819763183594;15.272068977355957
A09;74.270523071289062;9.9842548370361328;-1.4029741287231445;92.080245971679688;4.8992929458618164;-0.42318105697631836
A10;74.492141723632812;16.255855560302734;0.57393312454223633;92.722976684570312;7.6033172607421875;1.5539288520812988
A11;74.693954467773438;23.393810272216797;3.0460715293884277;92.641891479492188;9.4684362411499023;1.9482612609863281
A12;74.865982055664062;30.240804672241211;4.8276782035827637;92.064620971679688;10.749310493469238;1.9401073455810547
A13;97.440986633300781;0.33366680145263672;-3.6614537239074707;99.871566772460938;-0.58406591415405273;0.010371208190917969
A14;96.008773803710938;6.4981279373168945;-4.8660874366760254;99.638870239257812;0.01570582389831543;-0.0095009803771972656
A15;98.740676879882812;2.5660991668701172;-1.7168045043945312;99.998779296875;-0.0010430812835693359;0.0039339065551757812
A16;97.461662292480469;3.6727488040924072;-3.8997888565063477;99.660293579101562;0;-1.1920928955078125e-05
A17;98.636207580566406;3.1721591949462891;-1.3286471366882324;99.933914184570312;0.0098049640655517578;-0.0057578086853027344
A18;99.34844970703125;2.2667646408081055;-1.5324711799621582;99.991859436035156;-0.00095367431640625;-0.0003337860107421875
A19;95.36236572265625;3.2264888286590576;-7.172691822052002;99.067451477050781;0.26226043701171875;-0.95877647399902344
A20;17.460945129394531;8.4928874969482422;-0.023579597473144531;12.775590896606445;9.9026861190795898;2.102783203125
A21;26.878498077392578;27.94782829284668;14.991056442260742;34.355865478515625;40.559051513671875;24.899810791015625
A22;34.900054931640625;43.8824462890625;26.443553924560547;48.3526611328125;53.712814331054688;36.469924926757812
B01;21.881351470947266;10.515764236450195;4.6017112731933594;20.046733856201172;15.424773216247559;7.9235434532165527
B02;22.777801513671875;18.913402557373047;11.294150352478027;24.372020721435547;28.040260314941406;16.645574569702148
B03;24.301605224609375;25.922880172729492;16.66191291809082;29.887718200683594;38.200767517089844;25.294769287109375
B04;24.846813201904297;27.77741813659668;17.472135543823242;31.766613006591797;40.565818786621094;27.36137580871582
B05;42.801887512207031;17.476737976074219;9.9858465194702148;59.201522827148438;22.785663604736328;14.223313331604004
