name;fuji provia-like
description;fuji provia-like colorchecker
num_gray;24
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
A01;23.22503662109375;13.193368911743164;0.2205967903137207;24.687789916992188;23.07136344909668;2.65464186668396
A02;24.079250335693359;24.138509750366211;3.2732069492340088;29.571529388427734;38.896202087402344;9.9815607070922852
A03;25.293750762939453;33.669532775878906;6.5657081604003906;34.756908416748047;50.035953521728516;17.32133674621582
A04;26.13970947265625;34.746559143066406;6.937652587890625;36.797821044921875;51.967067718505859;17.710817337036133
A05;43.517402648925781;17.315774917602539;0.58923959732055664;58.781013488769531;25.861263275146484;1.4908432960510254
A06;43.981315612792969;31.914175033569336;5.5966496467590332;60.844261169433594;44.443340301513672;8.0909490585327148
A07;44.912796020507812;45.582950592041016;10.284256935119629;63.047409057617188;57.467876434326172;13.224887847900391
A08;46.020805358886719;63.46380615234375;15.634942054748535;62.186111450195312;66.621780395507812;11.628520965576172
A09;75.818305969238281;10.342538833618164;-2.1234631538391113;92.074760437011719;8.0561342239379883;-1.8217325210571289
A10;76.066307067871094;16.674726486206055;-0.022637844085693359;92.405776977539062;11.338800430297852;-0.030970573425292969
A11;76.150962829589844;24.04022216796875;2.4383306503295898;91.479461669921875;13.030171394348145;-0.77538490295410156
A12;76.153884887695312;30.98750114440918;4.1424036026000977;90.980598449707031;13.486295700073242;0.27655363082885742
A13;99.386688232421875;0.24959444999694824;-4.1559934616088867;99.993255615234375;0.0055730342864990234;-0.0083208084106445312
A14;97.874298095703125;6.7091884613037109;-5.588829517364502;99.885810852050781;0.03719329833984375;-0.13393163681030273
A15;100.60859680175781;2.6367902755737305;-2.2958993911743164;99.999008178710938;0.00020861625671386719;-0.00095367431640625
A16;99.158531188964844;3.7163794040679932;-4.5735955238342285;99.998954772949219;-8.9406967163085938e-05;0
A17;100.49156951904297;3.2709836959838867;-1.9220829010009766;99.996986389160156;0.0037848949432373047;-0.0028371810913085938
A18;101.11772918701172;2.2829174995422363;-2.1490097045898438;99.997879028320312;-0.0050961971282958984;0.00098943710327148438
A19;97.052436828613281;3.2214820384979248;-7.7942490577697754;99.348526000976562;0.2619624137878418;-0.95689296722412109
A20;18.451789855957031;8.3792800903320312;-0.66330432891845703;15.782346725463867;14.330595970153809;0.51968693733215332
A21;27.525062561035156;27.888193130493164;14.095407485961914;36.116634368896484;45.783607482910156;28.495429992675781
