name;fuji X100T calibrated (hires)
description;calibrated against reference it8 (49 patches)
num_gray;24
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
A01;21.093559265136719;12.286528587341309;0.14517307281494141;19.349815368652344;11.752590179443359;3.2557010650634766
A02;21.929569244384766;22.436290740966797;3.2426178455352783;19.597942352294922;23.872493743896484;6.7588448524475098
A03;22.97271728515625;31.31920051574707;6.4431247711181641;19.96380615234375;34.254161834716797;10.006195068359375
A04;23.706325531005859;32.384483337402344;6.8622407913208008;20.828151702880859;35.465793609619141;10.788655281066895
A05;39.872806549072266;16.118362426757812;1.0219812393188477;39.121757507324219;14.783993721008301;3.9216697216033936
A06;40.291358947753906;29.723659515380859;5.6442379951477051;39.377414703369141;29.252365112304688;8.8212852478027344
A07;41.140102386474609;42.475284576416016;10.070830345153809;39.964950561523438;42.561813354492188;12.681924819946289
A08;42.232528686523438;59.132366180419922;15.150732040405273;40.097530364990234;59.220954895019531;17.326467514038086
A09;69.9248046875;9.4863471984863281;-1.5696287155151367;69.711212158203125;7.0341529846191406;2.1120905876159668
A10;70.103805541992188;15.518397331237793;0.37575960159301758;69.887916564941406;13.276487350463867;4.0032386779785156
A11;70.15869140625;22.299051284790039;2.780616283416748;69.923164367675781;20.42064094543457;6.213831901550293
A12;70.241371154785156;28.883665084838867;4.2216658592224121;69.866752624511719;26.986270904541016;7.6414108276367188
A13;92.117996215820312;-0.031888484954833984;-3.3463239669799805;91.675651550292969;-3.7345290184020996;1.2801647186279297
A14;90.752494812011719;5.8833656311035156;-4.6336770057678223;90.293830871582031;2.7307569980621338;-0.21361112594604492
A15;93.587554931640625;1.9746720790863037;-1.5254378318786621;92.653961181640625;-1.4782547950744629;3.0144333839416504
A16;92.270027160644531;3.1316876411437988;-3.577268123626709;91.215988159179688;-0.33050775527954102;0.83060264587402344
A17;93.5655517578125;2.7112066745758057;-1.1246204376220703;92.131423950195312;-0.8373558521270752;3.3395648002624512
A18;94.212387084960938;1.8628239631652832;-1.4267921447753906;92.477394104003906;-1.8100738525390625;3.0149936676025391
A19;90.396339416503906;2.7780830860137939;-6.7690849304199219;88.581001281738281;-0.80221891403198242;-2.6853680610656738
A20;16.276283264160156;7.7625961303710938;-0.33184289932250977;9.156951904296875;9.6460657119750977;2.383080005645752
A21;24.888069152832031;26.256174087524414;13.45490837097168;20.904701232910156;28.862148284912109;21.885812759399414
A22;32.431056976318359;41.647121429443359;24.125450134277344;29.056774139404297;43.185413360595703;34.506782531738281
B01;20.674411773681641;9.7939071655273438;4.0734472274780273;19.308132171630859;8.9926128387451172;7.8210296630859375
B02;21.680892944335938;17.508968353271484;9.6180915832519531;19.515613555908203;18.255636215209961;15.443462371826172
B03;22.895088195800781;24.296909332275391;14.601993560791016;20.440475463867188;26.479110717773438;22.970226287841797
B04;23.412540435791016;26.075691223144531;15.389627456665039;20.674106597900391;28.376132965087891;24.128236770629883
B05;40.055797576904297;16.707107543945312;9.1380481719970703;39.258407592773438;15.409588813781738;13.010811805725098
B06;40.530799865722656;27.711273193359375;18.753253936767578;39.580265045166016;27.350574493408203;23.757230758666992
B07;41.137981414794922;41.095046997070312;28.783571243286133;39.764900207519531;41.315467834472656;35.764736175537109
B08;42.227794647216797;55.48992919921875;37.563209533691406;39.931713104248047;56.168853759765625;48.721286773681641
B09;69.919029235839844;8.8238124847412109;1.8803715705871582;69.746612548828125;6.4542293548583984;5.6051850318908691
B10;70.158653259277344;14.477581024169922;7.1043014526367188;69.894966125488281;12.273788452148438;11.032236099243164
B11;70.296966552734375;19.816457748413086;12.512683868408203;69.930213928222656;17.969429016113281;16.27659797668457
B12;70.309410095214844;26.137531280517578;16.785072326660156;69.838516235351562;24.514436721801758;20.678865432739258
B13;89.847785949707031;-4.3492612838745117;-6.525111198425293;89.458404541015625;-8.5457563400268555;-1.9703269004821777
B14;87.914596557617188;10.135889053344727;-7.5851321220397949;87.548088073730469;7.3961915969848633;-3.3689379692077637
B15;92.348464965820312;1.3226866722106934;7.1313261985778809;91.414749145507812;-1.9788146018981934;11.701035499572754
B16;84.054046630859375;3.0124187469482422;-3.4872055053710938;83.067398071289062;-0.18972158432006836;0.72665214538574219
B17;87.242744445800781;10.068863868713379;1.0176539421081543;85.856208801269531;7.3499083518981934;5.0557732582092285
B18;89.914039611816406;-5.3438243865966797;2.9437065124511719;88.122329711914062;-9.3340578079223633;7.0399045944213867
B19;85.954048156738281;3.7675201892852783;-11.889636993408203;84.349571228027344;0.31784176826477051;-7.9408526420593262
B20;20.110965728759766;15.645459175109863;6.3715877532958984;15.275390625;18.142908096313477;13.120916366577148
B21;29.957416534423828;37.224903106689453;21.30274772644043;26.534492492675781;39.016246795654297;30.684625625610352
B22;58.789527893066406;24.113506317138672;18.126560211181641;56.812271118164062;21.963478088378906;21.448051452636719
C01;25.267993927001953;6.432011604309082;6.2233686447143555;24.417766571044922;4.3259263038635254;10.022002220153809
C02;25.608798980712891;9.3175020217895508;12.986868858337402;24.161346435546875;8.1023578643798828;18.34150505065918
C03;26.209884643554688;12.644529342651367;19.673067092895508;24.639488220214844;12.641474723815918;28.511445999145508
C04;26.978893280029297;12.878775596618652;20.139438629150391;25.106651306152344;12.807861328125;29.13055419921875
C05;54.86932373046875;10.644227027893066;16.263544082641602;54.36492919921875;8.9396839141845703;20.363117218017578
C06;55.236457824707031;18.738805770874023;34.794826507568359;54.584945678710938;17.828882217407227;40.158687591552734
C07;55.373870849609375;26.307313919067383;52.945648193359375;54.8035888671875;26.273906707763672;61.253364562988281
C08;55.276222229003906;30.550210952758789;62.038433074951172;54.85546875;31.048149108886719;72.938438415527344
C09;75.321090698242188;6.4830183982849121;5.9868812561035156;75.033393859863281;4.0574369430541992;10.019529342651367
C10;75.353805541992188;9.6923408508300781;15.319120407104492;75.020828247070312;7.7340898513793945;19.441068649291992
C11;75.211593627929688;13.938337326049805;23.88252067565918;74.882408142089844;12.206792831420898;27.994560241699219
C12;75.631317138671875;17.003684997558594;32.040534973144531;75.133758544921875;15.679091453552246;36.630462646484375
C13;86.784797668457031;-9.3958673477172852;-10.651790618896484;86.479248046875;-14.374762535095215;-6.2608122825622559
C14;83.115882873535156;17.091215133666992;-12.148594856262207;83.099205017089844;14.764904975891113;-8.2818393707275391
C15;90.846878051757812;0.93039870262145996;15.765523910522461;90.067718505859375;-1.9788742065429688;20.357345581054688
